TGT,BNS,RIO,ESRX,KMB,EPD,STO,CNI,ORAN,GM,CRM,HRL,PUK,HDB,SO,PSA,ADBE,GD,PSX,COP,EXCU,BBVA,MON,BCS,CHA,CUK,AMT,ABB,ASML,KR,BK,INFY,LVS,SU,CCL,AET,SMFG,FDX,ITUB,CB,SYT,SYK,AVGO,RTN,BHP,CI,RBS,MCK,BMO,COF,NOC,LYB,CTSH,ITW,SCHW,EMR,SHPG,LBTYA,LILAK,CME,ENB,BX,LBTYK,ERIC,ECL,BAM,KEP,YHOO,BBDO,EXC,VLO,CCI,LILA,ICE,STZ,EBAY,TRI,PCG,WPPGY,VFC,BSBR,HAL,CHU,WIT,EQR,IMO,LUV,BBD,SNE,LBTYB,MFC,HUM,K,CM,BXLT,TRP,PHI,AON,FMS
MNST,AFL,DE,BBT,SHW,SYY,NXPI,ALL,SRE,DB,PPL,PBR,LVNTA,CSX,PHG,HPE,BSX,CNQ,LVNTB,HCN,SYF,CBS,EIX,NOK,CS,MYL,RYAAY,STT,DISH,NSC,BAX,DG,PEG,VRTX,TEL,CRH,ADM,ED,HLT,ZTS,GLW,XEL,NJ,EA,HSY,PXD,SE,APC,ARMH,DFS,HPQ,CPB,SIRI,SCCO,BHI,TI,EW,PGR,OMC,CP,DLPH,PRGO,MPC,SLF,NLSN,PCAR,AV,ABC,SSL,MCO,CERN,TU,MAR,ES,IX,CMI,NVDA,IBN,VIA,CLX,APH,MTB,VNO,QVCA,VIV,ABX,RCL,KYO,QVCB,LNKD,MMP,AMTD,CHKP,SJM,KOF,NMR,VALE,DTE,TYC
IP,O,SHG,SNDK,APA,IR,FE,POT,PKX,DVA,TAP,INCY,MJN,NTRS,NEM,PH,S,GPC,M,ETP,AEG,WY,BMRN,VMC,FAST,ETR,ADS,VIAB,TS,NBL,SYMC,NUE,RENX,CAM,HES,ENI,L,CA,LMCB,FITB,WHR,SBAC,MKL,LMCA,GG,AGU,WPZ,MAC,CNHI,AA,LMCK,CXO,JAH,LRCX,AWK,FCAU,TDG,AEE,TTM,TSCO,NCLH,FDC,HBI,IVZ,LH,KIM,PFG,CMS,AAP,EOC,BSMX,MGM,FNV,KLAC,LLTC,VCSH,DEG,CINF,FRT,XL,KORS,NWL,BRFS,EXR,WDC,WAT,BCH,HRS,XRX,TSO,RF,NLY,COTY,DGX,EMN,CVE,DOV,MAS,BLL
BAP,PBA,STX,ENDP,SCG,QIHU,TXT,KB,AYI,WU,CTAS,KMX,MCHP,LNC,CVC,SEE,IHG,CE,KSU,LEN,KSS,KEY,SLG,FRC,DVN,UGP,SIG,MPEL,WRK,DOX,XRAY,EQT,GOLD,ALLY,GRMN,LKQ,SNA,COG,TIF,ACGL,RAD,BPL,AGNCB,TKC,WYN,BSAC,LULU,GT,QSR,XEC,RMD,GPN,SJR,BBBY,CNA,AEM,LNT,WLTW,IEP,PNR,PNW,RL,ARMK,LEA,AVAL,RDY,Q,SABR,JAZZ,WUBA,INGR,MNK,DPZ,VER,MSCI,CIB,RACE,Y,BWA,DRE,YPF,ATO,BG,AER,JBLU,AJG,MBLY,BRX,CX,IHS,HBAN,MBT,UNM,CNC,REG,WWAV,UHAL,PRE,XYL
FMX,ADT,SXL,ETFC,NWS,SBNY,CPT,PVH,WAB,AES,VIPS,MHG,FLR,SLW,LAMR,UGI,IBB,AR,MT,FTR,TMK,ALB,WRB,NWSA,H,SEIC,ITC,KT,PPC,VIP,TARO,FDS,IRM,NNN,CNCO,AOS,VAL,AXTA,CPG,BIP,DDR,AGNC,ALLE,ASH,OTEX,CIT,FBR,CEA,CMA,HFC,KKR,FLEX,TFX,WPC,AVY,TRMB,ST,CSL,AIV,IEX,PII,MRKT,JHX,ACWI,SPLK,HUBB,G,WLK,MAN,MRO,UTHR,ZNH,ERJ,STE,FLS,TGNA,VCIT,RPM,IM,WBC,YOKU,BPY,MIDD,AU,TLT,CUBE,RELX,LUK,UMC,LBRDA,LBRDK,AXS,ACH,RHI,HLF,OPK,TEAM,PNRA,BAK
KRC,STM,CG,WFT,OGE,PSXP,OC,MRVL,ACC,ICL,QGEN,QUNR,GDDY,MIC,DKS,RNR,TFSL,GRA,ALKS,N,HNT,TRU,CCJ,TOL,WF,AMCX,JEC,PKG,RLGY,SIX,SQM,ORI,SCZ,ALR,JLL,SCI,SIVB,GXP,CPN,KEYS,NFX,CLB,TRQ,LAZ,SON,WRI,BRKR,RS,TTC,ZION,IPGP,ERIE,NEU,STR,GGG,ARCC,ETV,LPT,SMG,AGCO,TSU,CSRA,GNTX,ACM,COLM,CPL,SATS,ENH,XRS,WOOF,YNDX,BAH,VXUS,BBRY,NDSN,ICLR,FAF,BFR,RRC,CSC,DLB,GPK,CACC,NCR,BMA,NAVI,AM,MSCC,BC,NFG,PACW,HXL,HEI,CNK,MSG,SBS,GGAL,BFAM,VVC
BEP,SNX,EPR,FV,SNH,TLLP,HHC,IAC,NATI,HPT,SC,ECA,XON,TEO,BNDX,NICE,ESLT,PTC,CBI,ARRS,AGO,USM,MOH,PBI,SNV,DNB,ON,OZRK,POOL,SEB,ATML,WGL,CXW,SMI,POR,TRCO,KGC,EV,EQC,LC,MR,FEIC,GFI,TDC,BOKF,UMPQ,INT,AMSG,FNFG,SBGL,TCK,W,BIN,CAB,FMER,CW,GME,VEEV,HLS,ZBRA,VWR,DCT,TECH,CTX,RRD,ITT,LGF,PRXL,RIG,CGNX,GSH,FICO,LFL,VEDL,BWP,CFX,PBF,SLGN,USG,RGC,WBS,WAL,STOR,AL,KEX,ESGR,VET,GOL,HRC,CEF,TDY,VSTO,TX,EXP,SYNA,CAE,HR,NJR,MUR
AMH,MCY,SWX,VNQI,CR,NWE,GHC,VGR,VC,YY,MEOH,VLP,FHN,TWO,DLX,OUT,AAXJ,CBT,CIEN,CNL,BCA,LANC,CMPR,ALGT,BOH,LHO,LIVN,ANAT,AHL,HZNP,NS,PSTG,RLI,ATHM,NRZ,RYN,HELE,AUY,BKD,CY,AUO,CMN,MUSA,RLJ,CONE,PRA,TEN,GPOR,SXT,ASB,HUN,STRZA,CRTO,PSEC,RBA,SINA,WEN,IGT,PFGC,STRZB,HMHC,KATE,ARES,NTL,OSK,TUP,WEX,BKH,LOGI,OLN,CVG,SLM,TECD,CIM,EXG,THC,CAKE,RBC,TEX,UMBF,UE,TKR,JACK,NBR,RARE,AVA,NRF,CLC,AKR,GNRC,MANU,PCI,SWFT,MTG,BDC,POL,SFUN,UFS,DSW
LPX,AWI,MBFI,MOMO,KRG,MENT,ENS,RDN,SUN,MDCO,OLED,INFN,SWN,OFC,VRNT,FULT,CTB,KW,CHE,GEO,INXN,UNVR,BDN,CATY,QLIK,CPHD,EGO,FNB,FI,YZC,MPLX,NUV,UNF,CMCM,NTI,OZM,FIG,NGHC,VLY,AMFW,EGN,APAM,WBMD,JJSF,IMAX,WTFC,CVI,FSIC,ESV,SAIC,NE,NYT,SF,GRUB,BCPC,AB,CNX,COR,MRD,AVX,STMP,STN,IBKC,ANF,PEB,MDP,AYA,FUL,BYD,EBR,EDR,LPLA,TCB,CIG,ROVI,KOS,VAC,MASI,STL,ACG,CVA,DAN,OMAB,PEGA,SHLD,WSTC,LGND,NEOG,RXN,SIR,CUZ,DECK,MSTR,ROIC,LXP,SID,ZNGA,GMT,CEB
DRH,GPT,HBHC,VTIP,CPPL,ESNT,CLI,DF,HI,MTX,ABM,FIZZ,GCI,WRE,WMGI,DOOR,ACAD,CHK,PODD,DNOW,CRAY,NGD,CMC,EVR,ISIL,TMHC,ABY,HMIN,MGEE,SSW,SOHU,CHMT,KYN,ESL,RDC,CMCT,CVBF,EE,GLNG,HTH,EVER,GVA,HAE,ACWX,MSA,COKE,ACXM,ISCA,NVRO,TVPT,EURN,GLPG,KMT,CSA,WPG,ATE,MFRM,SANM,AGRO,AYR,BTT,NG,ELP,OPHT,FNSR,MATW,WDFC,AWR,ROLL,RH,YELP,CHSP,GZT,JBT,SCS,BID,ETY,THRM,GGB,IXUS,MCHI,PCTY,SSB,VMBS,VIAV,AF,DOC,PAH,HNI,IBOC,NKTR,CXRX,DAR,KLXI,TIME,TRMK,MAIN,ATI,FGL
KFY,PAAS,WNS,DW,SSP,PBYI,TSE,ABG,EVV,SONC,AIRM,BCO,EDE,HMY,LITE,AXE,CNS,LQ,AXLL,GDV,NOMD,OSB,CRS,FLTX,MWA,ATU,FRO,KALU,KMPR,MTDR,SWHC,NWN,OMAM,SRG,VA,AHS,BANR,SVU,CSQ,GSM,FSV,COT,IIVI,BVN,NOAH,PEI,RPT,X,AAAP,BITA,BRC,CZR,CSTE,EVT,FPF,PRK,AZZ,HTS,HW,IOC,NSM,BTZ,BDJ,CBF,CHFC,IVR,MTH,DSGX,CIGI,CPS,ONB,PRGS,SEM,SHOP,BBN,CSIQ,EEQ,GEF,JOY,MC,PEGI,PZE,RNST,GCP,HMN,RICE,VCO,AMED,FWRD,SMTC,SFN,ABCO,TAC,UVV,CBM,RQI,FDML,MSGN,NAT
FAX,DYN,SFL,ITCI,LZB,MRC,PLXS,DDD,AGI,HURN,BABY,SCHL,SFS,VNOM,CYBR,KAMN,MPSX,ADPT,CWT,PRTY,TY,AIN,PAM,SHEN,TPRE,AINV,NRK,DV,NPO,EGOV,PDI,JOE,VG,WABC,SIMO,HMSY,INDB,KBH,KRNY,NBTB,AEL,AMWD,STNG,SCL,TPL,BEL,CNMD,ESND,MANT,NEA,PRIM,SDRL,PAHC,GDOT,JPS,PCH,CAFD,IRC,QLGC,RENN,ETW,FCH,GOV,IGF,MDCA,TGS,VRTU,BW,CEO,GNW,TSEM,ARI,BTG,ETG,IOSP,KWR,ZIOP,EGHT,FN,FFBC,GLOB,IRCP,LADR,OTTR,TOUR,PHK,PRFZ,SWC,BLD,UBSH,CATO,KN,AVG,JQC,PRTA,IPHI,VCLT,KS,HL
CNV,PMT,ZPIN,MPG,DBVT,ORBK,NHC,TRNO,ROG,TSL,IAG,FSP,CPK,AWF,CUB,TYPE,GIMO,CZZ,CEM,PDS,GOGO,CYOU,CMO,ALOG,DIOD,CCMP,CC,BLOX,LCI,ESE,MCRN,VMO,BGG,XXIA,JMEI,IRBT,SCSS,OPB,PTY,WSFS,SXI,GMLP,TOWN,JPC,HT,DDC,EIG,EIM,GWPH,AAWW,MDIV,STFC,BANF,NEWP,UTG,MITL,ABCB,AAV,NGL,NVGS,FFC,IFGL,BONA,STON,RGEN,EHIC,VIVO,XLRN,NRCIB,TMP,FRME,IPCC,SNR,RNP,CLLS,SEMG,SFR,IGR,DENN,TNC,CACQ,EJ,FOE,TIVO,LABL,WLL,HTD,TLN,ATRO,TGP,MTSC,CRVL,USA,BCOM,LNN,IRS,IIM,LMNX,CODI
NMFC,GLT,SNHY,ETH,PML,SRCE,TQQQ,STC,WBAI,WNC,QUOT,BNCN,ACCO,UEIC,BOE,CLDT,OEC,GLOG,FCF,WIX,BH,RMP,VECO,EDN,AOD,FRAN,IRET,ORIT,OAS,TRS,WTW,WIRE,INDY,LSCC,AIR,NKX,JKS,FSC,CPAC,SJW,VTA,KRO,VGM,FSS,VTTI,SGMS,PRSC,SLRC,CBB,OFIX,GBLI,AG,CCC,VKQ,STAR,GFF,MNR,CAPL,UBA,LKFN,PDT,CLW,ENT,PMC,DEL,MMYT,IFV,ADC,RMR,NEWM,CENT,PTNR,NMZ,FTAI,UHT,HBM,CHY,SYRG,YDKN,TYG,IQI,NAV,UVE,TGH,PPR,GTE,WING,EVC,TCPC,CENTA,RGS,ATRI,RCII,VVR,BFK,CHCO,MOV,BKCC,NTK
CAMP,HAFC,GTS,ANIK,GRC,MTGE,IRDM,TPC,AEGN,NSU,VCV,HQH,PPT,PJC,UBP,LHCG,IGD,ACET,AIMC,TCAP,ETJ,TNK,CNNX,CPF,WLRH,CENX,CEQP,WIW,LSG,CFNL,MG,DVAX,AVH,NID,LPG,ORBC,SM,NRE,BBH,ATTO,GTY,EAGL,LDRH,NLNK,QIWI,SPNC,PBFX,VDTH,TROX,CHI,ERF,FFIC,CRESY,NXJ,NTRI,RIGP,DSKY,MERC,HPS,ECPG,MGRC,EOS,NBHC,ELNK,NX,MDM,FEI ,TK,VGSH,FWP,FBP,NAD,VVI,EFC,OCIP,MRCY,RUN,MFL,CII,SPNS,TCBK,PLUS,UAM,FF,BPT,CMRE,NBB,MUI,QQEW,BGB,EFSC,SP,ARCO,RLD,FOXF,ZUMZ,PACE,UTL,TRST
CSTM,HPI,BUSE,PHH,CPLA,KTF,TLP,NVDQ,RPXC,VKI,UIS,DANG,MIN,DLTH,NZF,PMO,BOXC,BRS,TDIV,GKOS,OME,AHT,MMD,FLY,RESI,JTP,DPG,HFWA,MTRN,RDWR,HIX,OUTR,TNP,MCS,ASPS,BLW,JPI,ERN,BFZ,DGRW,VRTV,CPE,AKS,PCN,FITBI,WK,SBCF,ADAP,ARCB,EAD,QDEL,MIME,FSD,MUX,CSU,WMIH,PJT,EMCI,MESO,EFT,SBY,MTRX,VTWO,MVG,IMOS,FPO,CHSCM,LEJU,EXAS,EOI,INTL,VONE,DAC,GLUU,GLOP,GRAM,NIE,AMCC,ERC,SPXC,EXTN,BTE,FUR,CERS,OCN,GLO,CTS,ANH,BPMC,SSRI,BXMX,PWE,STB,EROS,JFR,SBR,ANFI,RFP,CHSCN
MOD,MSEX,ETM,WMC,WLKP,TXTR,SKYY,FNBC,DNR,FORTY,TG,DL,HYLS,COBZ,FSM,GLP,CET,FEN,NPTN,PMTS,BIB,CINR,NATL,VONG,PPBI,FARM,BLVD,LIND,ASND,AWP,IGOV,MMT,CCF,DFP,EFR,VBND,CO,NXZ,BMTC,QPAC,KEN,HPF,PMM,MCR,EPE,NTRSP,WHG,NBBC,LTS,MNKD,ESD,UIHC,BGC,GPX,GPP,BKT,THFF,NSA,CORT,CISG,PNNT,ONEQ,BTO,CPLP,AIXG,PZN,KAI,WLRHU,SAND,ARAY,PGH,AFB,VWOB,HMLP,AEPI,ABCW,WINA,AKG,ITRN,PMF,KODK,CCD,CAC,CLAC,IVC,NVG,PFBC,XNET,FLIC,BYM,CACB,VONV,GBAB,NML,PMX,DBL,STRP,SOXX,OMER
LRN,NHTC,GERN,NCV,ETB,CHW,CYD,MTL,SRLP,KLDX,WLH,UVSP,CUNB,NAC,PKOH,AFAM,SPLP,QADA,AVD,MBWM,CSBK,FBNC,BLE,VGIT,NRCIA,TRC,SGBK,CTR,ARLZ,VUSE,CBA ,FEP,KOP,ARRY,FDEF,MED,JLS,IXYS,NDLS,YORW,BGR,JMF,AGM,OIA,WOWO,RSO,NZH,FLML,BHK,AMCN,KZ,YRD,FFWM,ABR,REX,PSG,ANW,LION,RGLS,KRNT,HOFT,TMST,GBNK,FNHC,BKMU,QURE,CBD,VSEC,VNDA,AROW,XUE,FMO,NANO,EOT,CAF,GOOD,NEV,CETV,PCK,CMTL,ACTA,EVN,CLF,TA,SENEB,PBPB,DLNG,HTR,SENEA,DXGE,IBCP,NCZ,PEBO,FOR,WRLD,AIA,EUFN,NQ,SYX
BKK,PPH,MCI,MCC,QQQX,VICR,FCT,RYAM,FMSA,RGNX,MAV,TOO,TICC,SODA,BCX,CHSCO,NMY,VPV,COB,BGH,XCRA,QADB,MGIC,WIA,MHI,PGNX,HOS,NBH,HYI,EMO,QTEC,BITI,FTSL,IDT,HSC,EC,WSR,PCBK,PFLT,BGFV,NMIH,GOGL,HTBK,BMRC,MY,TUES,XCO,BZUN,MTT,AVK,AUMA,JRO,TGLS,OCFC,VTN,HTF,RPTP,BUI,PKO,NVMI,XIV,NUM,MTLS,HLIT,PERY,MFM,JRS,HBNC,ZAGG,PKE,FTF,ETO,JP,HMPR,XIN,SEMI,NUO,SCNB,SQQQ,BGT,CTO,PSCT,WAC,TESO,TIS,LMOS,WTBA,UCFC,IHC,LJPC,FC,LXFR,MPX,PSTB,EOD,ACRE,CMCO,AI,NVTA
LNDC,PIM,BKN,EVM,UNT,TDW,BME,DMRC,PZC,DJCO,PFIS,AMRN,IGLD,PPP,ECOM,ODC,PUB,LYTS,FENG,SRSC,TRTL,TIPT,FELP,NDRM,PGC,AOSL,NVCN,CLNE,TCS,HQL,PHT,EXAR,EHI,PBT,PHX,CCNE,NNA,OFG,ELOS,IMMR,PHD,JOF,ARTNA,NPV,FIF,ADUS,DTEA,DAX,CTF,HIFS,PCQ,HEOP,GUT,TBNK,NXQ,KEYW,CLACU,BSRR,STAA,BPK,WINS,XBIT,PLM,CCBG,VNR,NVEC,TCX,BSTC,VHC,DMO,GDO,FFA,ELECU,CGG,BFIN,HNH,EVG,EACQ,HLG,DATE,CZNC,CGEN,NXP,PRMW,HCAC,ELEC,AGTC,NTP,RAS,SDLP,DNN,ARCX,VNCE,BWG,NCOM,TREC,NUW,FKU,OMN
AGEN,EBTC,NCT,GFA,FDUS,GOF,ARWR,PSCH,TRIB,NUTR,NVX,PNQI,PFL,FMNB,POPE,ELRC,GNE,ACAT,MGU,WOOD,RRM,AMSGP,FSFR,NNC,WFBI,SJT,NPD,ZIXI,HOV,WILN,FSZ,SN,CHSCP,TPUB,CRHM,MJCO,DGII,CSWC,KNOP,BXE,IGI,AFT,COMT,ATLO,JOUT,SILC,CRC,SGI,FGM,MYF,DHF,ETX ,HSKA,JCE,OXFD,BIS,FRM,LMRK,CECE,ECR,KPTI,BSL,HLTH,ASC,GAIN,AT,GPIA,DSX,ENX,MCBC,CHFN,CCM,TITN,DHY,SPXX,PFN,GLDD,NTLS,SCD,BBOX,AFC,GARS,GDL,EVF,BNY,VBF,IMDZ,JDD,ABTL,BBX,CSI,MZOR,KIO,JHP,TAXI,FLC,LMNR,IRMD,JKI
RM,ANCX,NHS,JGV,BCOV,IVH,EVRI,FFKT,NXR,CCIH,PKD,CTRL,QTNT,FLDM,HEQ,NBRV,GPAC,NEN,NTC,BLBD,JTD,VTVT,STRT,AIF,TRTLU,NAP,MBTF,GLQ,GGAC,EDF,OIBR,ASA,I,LPCN,PGP,NSL,ENZY,NAZ,GSV,EVGN,MFSF,MX,AUDC,GHM,ITEK,PULB,SIFY,BBK,MDWD,BELFB,FAM,MGF,GSOL,CYTR,NIQ,IGA,GPRK,FOMX,KMM,CCLP,EXK,APIC,EMF,RST,PLPC,CPTA,FTGC,MRLN,GILT,ABUS,CECO,MPA,GGT,INNL,EGLT,XTLY,ITIC,CYNA,TPVG,DTLK,NRIM,PFNX,PERI,NWHM,FHK,DQ,FNWB,DXJS,WLFC,CARO,MEMP,JPEP,EARS,SUNS,AGC,SXCL,SLMBP,AMIC,MRCC
CWCO,ACTG,CNXC,MDLY,HZN,GLAD,DCO,JHS,PMBC,LCNB,LND,AJX,BGX,BCRH,CXE,TPHS,DHXM,BTA,AVXL,FSAM,EXA,CIFC,PCO,SQNS,CTIC,KSM,FUEL,OVAS,PLG,ALLT,ICA,KED,FT,MBRG,NBD,GEOS,HRMN,CHKE,RLH,NKG,VGI,SOL,ISHG,GLDI,USDP,SLMAP,SBI,BELFA,ORRF,HCLP,JTA,TESS,GRX,PFD,PNI,RIT,NTX,BBG,INAP,SHBI,DRD,SPA,MPV,FSTR,QQXT,FDT,WEA,HNRG,UNIS,JSD,LFVN,CEN,SAMG,ABDC,CFNB,MSLI,SPNE,BYLK,EMKR,CMU,CFFI,CXDC,VGLT,JRI,CHCT,PFO,FNTC,DRRX,IRDMB,NMT,SBLK,OXLC,DEX,QTM,FEM,RIF,ADRE,ACNB,CIX
