TGT,BNS,RIO,ESRX,KMB,EPD,STO,CNI,ORAN,GM,CRM,HRL,PUK,HDB,SO,PSA,ADBE,GD,PSX,COP,EXCU,BBVA,MON,BCS,CHA,CUK,AMT,ABB,ASML,KR,BK,INFY,LVS,SU,CCL,AET,SMFG,FDX,ITUB,CB,SYT,SYK,AVGO,RTN,BHP,CI,RBS,MCK,BMO,COF,NOC,LYB,CTSH,ITW,SCHW,EMR,SHPG,LBTYA,LILAK,CME,ENB,BX,LBTYK,ERIC,ECL,BAM,KEP,YHOO,BBDO,EXC,VLO,CCI,LILA,ICE,STZ,EBAY,TRI,PCG,WPPGY,VFC,BSBR,HAL,CHU,WIT,EQR,IMO,LUV,BBD,SNE,LBTYB,MFC,HUM,K,CM,BXLT,TRP,PHI,AON,FMS
LXU,BAF,NEWT,GPM,XONE,CVCY,GEQ,ADHD,GGACU,EXD,EIV,FPI,PER,IHD,MATR,CTSO,ACP,NIM,GENC,EEMA,CHKR,KMDA,SBW,AHC,FTSM,NVIV,RWLK,KHI,CHMG,QLTI,NCBS,KOPN,MFCB,NKA,JHI,VTWG,AP,LAYN,HRZN,AKP,HTCH,TAOM,LOJN,NEFF,CPHR,FBRC,BBEP,LSBG,RDHL,MFT,TVIX,CALL,GGM,ENZL,ATTU,SGM,WPRT,PCF,HFFC,BNJ,RYI,JRJC,FTCS,IRR,NYMX,OASM,INBK,MCF,HNW,ATAI,GLV,BHL,TZOO,IAF,OFED,UUUU,CXH,TANH,PNRG,PME,AKTX,MRIN,NMRX,GSVC,ERH,RDCM,ENFC,ZFC,DEST,CIZN,KWEB,REFR,WLB,EARN,PCYO,OSHC,LGI,DMD,NEON
TWMC,ATNY,PGZ,EGAN,ESXB,PSCD,PACD,AAPC,ARWA,ISTR,CHMI,SCM,OFS,PSCF,NAO,LCM,JMP,GORO,HYGS,FONR,MBFIP,STRL,XENE,JMT,GFN,MIXT,EDI,BANX,BSD,CLD,TGA,ROBO,HTY,CEV,IAE,ABE ,INF,VLT,CFCB,IRIX,RGCO,BBF,CRME,PRQR,EDAP,DRAD,DCA,NXC,EFF,PAR,GFY,AGD,FCSC,EML,AFCO,WATT,SSRG,CHEV,NWPX,UDF,NWFL,ORN,PNF,CMFN,GPL,OCX,HDRA,EMCB,SPE,BJZ,VOXX,SZMK,CDI,BGSF,RVSB,CVEO,AMSC,MFD,RSYS,AFMD,AXAS,FPT,UTI,SOCB,NBN,ONTY,MZF,ORMP,TCFC,FMN,CFRX,QABA,ECF,NMM,OVBC,PSDV,FCCY,PPHM,MNI
NDRO,QUIK,BSE,VUZI,OPOF,BIOA,HWCC,JST,CADT,XOMA,TLI,NBW,FAC,FHY,DNI,NM,FCCO,BCV,SGY,PES,BUR,CMT,ACFC,CRT,FJP,NEPT,SDR,LARK,RIVR,ELLO,AAME,UEC,CGO,LAND,SBBP,KEM,PTIE,CRNT,BFO,EMES,SMED,IOTS,SMMT,EGAS,VJET,AXTI,PFMT,SAR,DNBF,AINC,UTSI,BRID,PANL,TGB,BOCH,SNFCA,BKSC,PGLC,COVS,SOHO,UBFO,BOOM,BFY,CFD,FSBK,ADMP,MSL,SDT,EVY,KTCC,PAAC,DRYS,CPIX,CVM,AUPH,GPIC,NRT,OVLY,MTP,ULBI,CLBH,FGB,KFFB,ABIL,VBLT,AMRB,ANY,SZC,NTWK,MSBF,DWSN,IKGH,CPXX,TGD,NBO,ABEO,TRCB,SLQD,ARKR
SOCL,TGEN,JMI ,GGE,OAKS,ICAD,HK,PSCI,SMM,SYNL,ARTX,APDN,BSQR,LF,PMD,MAGS,QCLN,LENS,VNRX,EPIX,FEO,FXCM,GLU,CNR,KGJI,VTWV,CAMT,ZN,URG,NMS,SCX,EXFO,AGZD,PWX,FAV,JMM,FCLF,FUNC,HCAP,ICLN,CYBE,WYIGU,TUTT,SSBI,MFNC,LINC,MPB,MNE,MSP,IPAS,PRSS,HGT,MBCN,WYIG,EGY,ACW,SBBX,GNMA,VFL,FMY,PYN,MSB,ESP,TRIL,INTG,IPCI,TFSC,TATT,ADRD,OHAI,MVO,INOD,DWCH,CMLS,CWBC,EVJ,NCB,HTM,ANCB,ASRV,BLRX,UCBA,NTIC,QRHC,TACT,GRO,FHCO,CNLM,BHAC,AXU,CLIR,NXN,CRMD,GST,NGHCP,LRAD,BLH,IFEU,UPL
CERU,ECAC,RWC,IPKW,JPW,CBK,PNBK,CARZ,GTIM,BIE,CVV,FRBA,SVBI,MHGC,ACU,ADMA,BVX,VBIV,GNK,GLMD,CAS,ZX,EMIF,FULL,ANDA,GLADO,NCTY,EIA,EMCF,UNAM,CCUR,AIRR,MCOX,DIT,MNGA,LGCY,VIRC,ESBK,BBEPP,PBMD,DVCR,GLPW,IID,VOC,VCEL,ARDM,IEUS,PNTR,ATLC,KST,AIRI,WYY,EMAN,MTGEP,TNXP,IPWR,PFBX,EDUC,MNDO,CIF,BYFC,YECO,PSCU,BTU,XRA,JXSB,EGI,DTYS,IIN,ALN,IEC,KEQU,BCLI,BORN,XPLR,FORK,CPHC,HEAR,ADK,CYRN,TFSCU,KIQ,BQH,QAT,INTT,PLBC,EVO,BOSC,NTEC,EIP,SPP,IZEA,VGZ,MMV,FPA,ASM,JYNT,TUTI,ORPN
FMD,PARN,NVET,GULF,OIIM,VLTC,MDSY,AAMC,NOM,DDE,BLJ,NCQ,SGB,NYV,HSGX,TRX,RMGN,ROYT,WAYN,EMXX,QUMU,JTPY,CNAT,ETAK,EXXI,FRD,EMJ,OBAS,EIO,MFV,HPJ,VNRBP,CHEK,MHE,ASUR,AGND,SSFN,NVGN,SKY,WRN,VICL,CCA,BXC,DXPS,CYTX,NYH,JRJR,YPRO,THM,REXX,IO,GIGM,BPMX,EVP,STDY,DCIX,ZIV,IMN,BZM,PRAN,SMT,EFUT,JGW,ULTR,AXR,DXR,ONCS,BHV,PSCC,OXBR,AREX,FEMS,GV,DLHC,DSLV,SNTA,NHLD,GLBZ,MGCD,OTIV,GOODO,AEZS,EQFN,UQM,ZSAN,GALT,EVLV,DYSL,SIEB,EGT,CLSN,VBFC,SSE,PAGG,RAND,TEAR,CERC,CREG,PQ
ASTC,OXLCN,HNR,EMI,BANFP,CZFC,LIME,CBAY,SEED,EGLE,UAE,DXKW,MAB,NSAT,GAI,CVO,BVA,TCPI,LIVE,GOODP,TAT,CPSH,JCTCF,CYAN,MSN,IFON,LUNA,EMMS,CFGE,DGRS,EAC ,CPST,TPLM,ENG,IKNX,INS,CFO,CTRV,CDRB,CVR,ELON,GENE,BSI,NJV,USLV,PSAU,WVFC,CDC,PSCE,IHT,CANF,RDVY,CLDN,CIDM,BIOD,CFBK,MIW,SMCP,ADRA,APWC,EWZS,PXS,MBSD,FMB,MOC,SMTX,XPL,RPRX,BBP,CSPI,VALX,ITUS,ACY,MCZ,EMITF,HYZD,BBC,AUMN,NPN,CUO,FDIV,XTLB,APHB,ENSV,RXII,ICCC,OGXI,DAIO,ECT,UAMY,CSF,CTHR,ADGE,QYLD,ROSG,CETX,MCUR,NXTD,MDVX
ANDAU,CTIB,TOF,OCC,KOSS,QQQC,AEHR,LALT,FCA,HIHO,ESEA,OTEL,XNY,TWER,ISDR,CXSE,EMCG,HOVNP,KOOL,RESN,ADRU,SYRX,REDF,BVXV,PBM,GIGA,MGH,SSH,STPP,DLBS,KBSF,ELTK,TIK,RIBT,ATOS,FWM,IMNP,MTR,HRT,YDIV,LTBR,FLAG,LEU,TIL,UGLD,DGRE,KTOV,PSCM,NSYS,BNTC,TORM,DTUS,GRID,FSI,PED,PPHMP,WSCI,PZG,SSN,TRT,FONE,UBIO,FTRI,QINC,CPAH,FEUZ,USEG,DFBG,AMS,DHRM,LGCYO,MDGS,CETC,COOL,HUSA,RITT,AKER,DELT,FTW,MOKO,LEDS,SLVO,FCAN,MARPS,DYNT,BICK,YGE,DGLD,ETRM,SKOR,SALT,PW,DXI,FDTS,HYND,EEML,CRDT,AWX,CFA
SCON,FES,QBAK,CLWT,MTSL,LBIX,DRWI,TOPS,MPET,DTYL,TUSA,FTHI,VIIX,RADA,TAIT,IGC,VXDN,FLAT,MYOS,LDRI,MXC,NFEC,TCCO,FTLB,DTUL,JGBB,UBND,DLBL,NAKD,FPP,CALI,NADL,ZBIO,BGI,MGT,FLN,GLRI,FTAG,CBMX,HMNY,KONE,FKO,SKLN,WPCS,SPEX,DRAM,LGCYP,TLOG,DPW,SRET,YLCO,MAUI,SHIP,VIIZ,FBZ,DFVL,GNOW,GLBS,DFVS,PRGN,NRP,TFSCR,TFSCW,PIH,FLWS,FCTY,VNET,XXII,TWOU,JOBS,SIXD,AVHI,SHLM,ATEN,AAC,AAON,AAN,ABAX,ABGB,ABEOW,CH,FCO,GCH,IF,ISL,JEQ,SGF,ABILW,ABMD,ACHC,ACST,AXDX,VXUP,ACRX,AKAO,ACHN,ACIW,ACRS,ACOR
AIII,ATNM,ACTS,ACPW,ATVI,ACUR,ADMS,ADX,PEO,AE,ADK^A,AEY,ADTN,ADRO,WMS,AEIS,AITP,AMD,ASX,ADXS,ADXSW,AEGR,AEB,AED,AEH,AEK,AMTX,AERI,HIVE,AJRD,AVAV,AEMD,AMG,MGR,AFFX,AFSD,MITT,MITT^A,MITT^B,WGA,AGRX,A,AGYS,AGIO,GAS,AGFS,AGFSW,AIMT,APD,AIRT,ATSG,ARG,AKAM,AKBA,AKRX,ALP^O,ALG,ALRM,ALK,ALSK,AMRI,AA^,AA^B,ALDR,ALDX,ALR^B,ALEX,ALX,ARE,ARE^D,ARE^E,ALXN,ALXA,ALCO,ALGN,ALIM,ABTX,AGN^A,ALE,AFOP,AIQ,AHGP,AOI,ARLP,ACV,NFJ,AHPI,AMOT,AWH,ALQA,ALSN,MDRX,ALL^A,ALL^B,ALL^C,ALL^D,ALL^E,ALL^F,ALLY^A
AAU,ALNY,ALJ,ALDW,APT,ATEC,AMAG,AMRK,AMZN,AMBC,AMBCW,AMBA,AMBR,AMC,AMDA,AMRC,ATAX,AMOV,AMX,AAL,AAT,AXL,AGNCP,ACSF,ACAS,AEO,AEP,AETI,AFA,AFG,AFGE,AFGH,AFW,AMH^A,AMH^B,AMH^C,AIG,AIG.WS,AMID,AMNB,APEI,ARII,ARL,ARPI,ASEI,AMSWA,AMT^A,AMT^B,CRMT,APU,AMP,AMSF,ASRVP,FOLD,AMKR,AMPH,AMPE,BETR,ASYS,AME,AFSI,AFSI^A,AFSI^B,AFSI^C,AFSI^D,AFSS,AFST,AMRS,ANAC,AEUA,ANAD,ADI,ANDAR,ANDAW,ANGI,ANGO,ANIP,NLY^A,NLY^C,NLY^D,ANSS,ATRS,ANTM,ANTX,ANTH,ANH^A,ANH^B,ANH^C,ABAC,AXN,AIV^A,AIV^Z,ZLIG,APOG,ARI^A,APOL,APO,AIB,AIY
AMTG,AMTG^A,APPF,APLE,ARCI,APDNW,AIT,AMAT,AAOI,APRI,ATR,APTO,WTR,AQMS,AQXP,AUMAU,AUMAW,PETX,ABR^A,ABR^B,ABR^C,ABRN,ARC,ARCW,ABIO,RKDA,ARH^C,APLP,AROC,ARDX,ARNA,ARU,ARDC,AGX,AGII,AGIIL,ARGS,ARIS,ARIA,ANET,AIC,AIW,AHH,AMCO,ARR,ARR^A,ARR^B,ARWAR,ARWAU,ARWAW,ARQL,DWAT,ARW,ARTW,PUMP,ASBB,ASNA,ASCMA,AHP,AHT^A,AHT^D,AHT^E,APB,GRR,ASPN,AHL^A,AHL^B,AHL^C,AZPN,ASMB,ASB.WS,ASB^B,ASB^C,AC,AIZ,AGO^B,AGO^E,AGO^F,ASFI,ASTE,AST,AF^C,ALOT,ATRA,ATHN,ATHX,ACBI,ATNI,ATLS,AFH,ARP,ARP^D,ARP^E,ATRC,ATW,LIFE,AUBN,ADSK,AGMX
ADP,AN,AZO,AAVL,AVB,AGR,AVNU,AVEO,AVXS,AVNW,AVID,AVGR,CAR,AVV,AVT,AVP,AWRE,ACLS,AXS^C,AXS^D,AXGN,AXSM,AZUR,BGS,RILY,BEAV,BMI,BIDU,BWINA,BWINB,BTN,BLDP,BGE^B,BANC,BANC^C,BANC^D,BANC^E,BOCA,BLX,SAN,SAN^A,SAN^B,SAN^C,SAN^I,BKJ,BXS,BAC.WS.A,BAC.WS.B,BAC^C,BAC^D,BAC^E,BAC^I,BAC^L,BAC^W,BAC^Y,BAC^Z,BML^G,BML^H,BML^I,BML^J,BML^L,BK^C,BOTJ,RATE,BKU,BWFG,BHB,BCS^,BCS^A,BCS^C,BCS^D,BHACR,BHACU,BHACW,BNED,BKS,B,BRN,CUDA,BBSI,BAS,BSET,BYBK,BV,BBT^D,BBT^E,BBT^F,BBT^G,BBCN,BCBP,BCE,BECN,BSF,TZF,BBGI,BZH,BEBE,BDX,BGNE
BLCM,BMS,BHE,BNCL,BNFT,BNTCW,BRK.A,BRK.B,BHLB,BBY,BGCA,BGCP,BIG,BIND,BIOA.WS,BASI,BCDA,BIOC,BCRX,BDSI,BIOL,BLFS,BVXVW,BPTH,BIO,BIO.B,BIOS,BSPM,BOTA,BEAT,BTX,BTX.WS,BDMS,BJRI,BDE,BKHU,BKFS,BSM,BLKB,HAWK,HYT,DSU,EGF,BGY,BIT,MUA,MEN,MUC,MUH,MHD,MUJ,MHN,MUE,MUS,MVT,MYC,MCA,MYD,MIY,MYJ,MYN,MQT,MYI,MQY,BST,BLK,BDR,BLMN,BLT,BCOR,BUFF,BBLU,BHBK,NILE,BLUE,BKEP,BKEPP,BRG,BRG^A,ITEQ,STCK,BOBE,BOFI,WIFI,BCC,BOJA,BCEI,BNSO,BOOT,SAM,BPFH,BPFHP,BPFHW,BXP,BXP^B,EPAY,BLVDU,BLVDW,BWL.A
BOXL,BDN^E,BBRG,BDGE,BLIN,BPI,EAT,BR,BSFT,BVSN,BWEN,BRCD,DTLA^,HHY,BOI,BRKL,BRKS,BRO,BF.A,BF.B,BLMT,BKE,BWLD,BBW,BLDR,BURL,BWXT,CJES,CHRW,BCR,BNK,GYB,PFH,CABO,CACI,CDNS,CDZI,CAI,CLBS,CLMS,CAA,CVGW,CAL,CALA,CALX,CALD,CPE^A,CALM,CLMT,ABCD,CCG,CCG^A,CGIX,CAJ,CBNJ,COF.WS,COF^C,COF^D,COF^F,COF^P,BXMT,CLA,CLACW,CFFN,CAPN,CAPNW,CAPR,CMO^E,CARA,CRR,CARB,CBYL,CRDC,CAH,CSII,CATM,CCP,CRCM,CDNA,CTRE,CKEC,CSV,CRZO,TAST,CRI,CRTN,CARV,CASM,CSCD,CWST,CASY,CSH,CASI,CASS,ROX,CSLT,CATB,CTLT,CBIO
CTT,CAT,CATYW,CVCO,CAVM,CBFV,CNLMR,CNLMU,CNLMW,CBZ,CBL,CBL^D,CBL^E,CBO,CBOE,CBG,CBS.A,CBX,CAW,CDK,FUN,CDR,CDR^B,CGI,CLS,CELGZ,CEL,CLDX,CLRB,CLRBW,CBMG,CVM.WS,CEMP,CNP,CSFL,EBR.B,CEE,CNBKA,CNTY,CCS,CTL,CERCW,CERCZ,CERE,CEVA,CF,GIB,CSBR,HOTR,HOTRW,CRL,GTLS,CHTR,CHEKW,CKP,CHGG,CEMI,CCXI,CQH,CQP,LNG,CHK^D,CHSP^A,CHMA,CBNK,CHS,PLCE,CMRX,CADC,CAAS,CBAK,CBPO,CCCL,CCCR,CCRC,STV,CHN,CGA,HGSH,CNIT,CJJD,HTHT,CHNR,CPHI,CSUN,CNTF,CNYD,CNET,CMG,CHH,CHSCL,CHT,CHD,CHDN,CHUY,CBR,CDTX,CBB^B,CIR
CSCO,CTRN,C.WS.A,C^C,C^J,C^K,C^L,C^N,C^P,C^S,CZWI,CFG,CIA,CTXS,CIO,CIVB,CIVBP,CIVI,CKX,CWEI,CDTI,CLH,CLNT,CCO,CLFD,CLRO,CBLI,CLVS,MYCC,CMS^B,CNO,COH,CWAY,CIE,CCE,CDXS,CVLY,CDE,JVA,CCOI,CGNT,FOF,INB,UTF,LDP,MIE,PSF,RFI,COHR,CHRS,COHU,CLCT,COLL,CBAN,CLNY,CLNY^A,CLNY^B,CLNY^C,CLCD,COLB,CPGX,CXP,STK,CCV,CCZ,CMA.WS,FIX,CBSH,CBSHP,CUBN,CVGI,COMM,CSAL,JCS,CBU,CCFI,CYH,CYHHZ,CTBI,CVLT,CIG.C,CCU,CMP,CPSI,CTG,SCOR,CHCI,LODE,CRK,CAG,CNCE,CDOR,CDORO,CDORP,CFMS,CONG,CNFR,CTWS,CNOB
CONN,CNSL,STZ.B,CPSS,CBPX,CLR,CFRXW,VLRS,COO,CPA,CPRT,COYN,COYNW,CRBP,CLGX,CORE,CORR,CORR^A,COR^A,CVRS,CORI,CSOD,CRF,CLM,GYC,OFC^L,COSI,CMRE^B,CMRE^C,CMRE^D,CSGP,CCSC,CFC^A,CFC^B,ICBK,CVTI,COWN,COWNL,CVU,CRAI,CBRL,BREW,CRD.A,CRD.B,CIK,CREE,CROX,CCRN,XRDC,CRDS,CCI^A,CRWS,CCK,CRWN,CRY,CYRX,CYRXW,CRVP,CSGS,CSS,CST,CSWI,CTCM,CTRP,CUBE^A,CUI,CFR,CFR^A,CFI,CURM,CRIS,SRF,CUBI,CUBI^C,CUBI^D,CUBS,CUTR,CVT,UAN,CVRR,CYCC,CYCCP,CYNO,CELP,CYS,CYS^A,CYS^B,CYTK,CTMX,DHI,DAKP,DAKT,DRI,PLAY,DPM,DDR^J,DDR^K,DFRG,TACO
VCF,DDF,VMM,DCTH,DKL,DK,DAL,DLA,DGAS,DELTW,DWRE,DEPO,DSCI,DERM,DXLG,DSWL,DTRM,DKT,DTK,DXB,DXCM,DGSE,DHX,DHT,DMND,DHIL,DO,DRII,FANG,DSX^B,DSXN,DRNA,DBD,DGLY,DLR,DLR^E,DLR^F,DLR^G,DLR^H,DLR^I,APPS,DGI,DDS,DDT,DCOM,DMTX,DIN,DPRX,DPLO,DFS^B,DISCA,DISCB,DISCK,DSCO,DRA,SAUC,DSS,DLTR,DM,D,DCUA,DCUB,DCUC,DCI,DGICA,DGICB,DMLP,DORM,EAGLU,EAGLW,DSL,PLOW,DEI,DVD,DPS,DDAY,DRWIW,DWA,DMB,DMF,DSM,LEO,DRQ,DSKX,DSPG,DST,CADTR,CADTU,CADTW,DTQ,DTZ,DTSI,DSE,DNP,DTF,DUC,DUKH,DNKN,DFT
DFT^B,DHG,DXPE,DY,DLNG^A,DYN.WS,DYN^A,DX,DX^A,DX^B,DD^A,DD^B,EBMT,EGBN,GRF,EGIF,EGRX,ECC ,ECCA,ECCZ,ESTE,EWBC,EACQU,EACQW,DEA,EVBS,EGP,KODK.WS,KODK.WS.A,ETN,EVSTC,EBIX,ECHO,ECTE,EEI,ECACR,ECACU,ESES,EDGE,EDGW,EDIT,EHTH,EP^C,LOCO,ERI,ESIO,ELMD,EFII,ELSE,ELECW,EBIO,RDEN,CAPX,ELLI,LONG,AKO.A,AKO.B,EME,EOX,EBS,EMG,NYNY,ERS,ESRT,ENBL,ENTA,EEP,GI,ECYT,ELGX,EIGI,ENH^B,ENH^C,ENR,EPC,EFOI,ERII,ETE,ENRJ,ENRJ^,ENOC,EGL,ENLK,ENLC,EBF,ENVA,ENPH,ESNC,ENTG,ENTL,EAA,EAB,EAE,ELA,ELB,ELJ,ELU,EFM,EMQ
ENJ,EZT,ENV,EVI,EVHC,EVA,ENZ,ENZN,EOG,EPAM,EPIQ,EPRS,EPZM,EPR^C,EPR^E,EPR^F,EQGP,EQM,EFX,EQIX,EQBK,EQC^D,EQC^E,EQCO,ELS,ELS^C,EQY,EQS,ERA,ERB,ESCA,ESPR,ESSA,ESS,ESS^H,EL,ESSF,ETSY,EEFT,EEA,EVEP,EVBN,EVER^A,RE,EVK,EVTC,EVDY,EVOK,EVH,EPM,EPM^A,EVOL,EXAC,EXAM,EXEL,EXLS,EXPE,EXPD,EXPO,EXPR,STAY,EXTR,EYEG,EYEGW,EZPW,FNB^E,FFIV,FB,FCS,FRP,FALC,DAVE,FARO,FATE,FBSS,FFG,FCB,AGM.A,AGM^A,AGM^B,AGM^C,FII,FCH^A,FENX,FGP,FCAM,FGEN,FNF,FNFV,FIS,FPP.WS,FRGI,FSCE,FSCFL,FNGN,FISI,FNJN,FNTCU,FNTCW
